pattern;category;;;;;
smuggling;Personal Security;;;;;
smuggling of;Personal Security;;;;;
social stigma;Personal Security;;;;;
spiral of violence;Personal Security;;;;;
spread of conflict(s)?;Personal Security;;;;;
spread of illicit small arms;Personal Security;;;;;
state war(s)?;Personal Security;;;;;
stigmatizing;Personal Security;;;;;
street violence;Personal Security;;;;;
structural violence;Personal Security;;;;;
substance abuse;Personal Security;;;;;
sudden risk;Personal Security;;;;;
suffering;Personal Security;;;;;
suicide(s)?;Personal Security;;;;;
systematic assault(s)?;Personal Security;;;;;
systematic violence;Personal Security;;;;;
targeted attack(s);Personal Security;;;;;
targeted killing(s)?;Personal Security;;;;;
technology led threat(s)?;Personal Security;;;;;
terrorist attack(s)?;Personal Security;;;;;
terrorist(s)?;Personal Security;;;;;
threat(s)? of extinction;Personal Security;;;;;
threat(s)? of nuclear holocaust;Personal Security;;;;;
threat(s)? of violence;Personal Security;;;;;
threat(s)? of violent conflict(s)?;Personal Security;;;;;
traffic accident(s)?;Personal Security;;;;;
traffic in ;Personal Security;;;;;
trafficking;Personal Security;;;;;
trafficking in drugs;Personal Security;;;;;
trafficking in people(s)?;Personal Security;;;;;
trafficking in person(s)?;Personal Security;;;;;
trafficking of human being(s)?;Personal Security;;;;;
trafficking of minors;Personal Security;;;;;
trafficking of people;Personal Security;;;;;
trans murder(s)?;Personal Security;;;;;
transfemicide(s)?;Personal Security;;;;;
transfer(s)? of small arms;Personal Security;;;;;
transfer(s)?of light weapons;Personal Security;;;;;
transfer(s)?of small arms and light weapons;Personal Security;;;;;
transgender homicide(s)?;Personal Security;;;;;
transnational crime;Personal Security;;;;;
transnational organized crime;Personal Security;;;;;
transphobic violence;Personal Security;;;;;
traumatic experience(s)?;Personal Security;;;;;
undermining settlement(s)?;Personal Security;;;;;
unpredictable violence;Personal Security;;;;;
unsafe environment(s)?;Personal Security;;;;;
unsafe neighbourhood(s)?;Personal Security;;;;;
urban violence;Personal Security;;;;;
use(s)? of rape as a weapon;Personal Security;;;;;
use(s)? of weapons of mass destruction;Personal Security;;;;;
use(s)? of weapons of mass disruption;Personal Security;;;;;
violation(s)? of physical security;Personal Security;;;;;
violence;Personal Security;;;;;
violence against;Personal Security;;;;;
violence within;Personal Security;;;;;
violent action(s)?;Personal Security;;;;;
violent activit(y|ies);Personal Security;;;;;
violent behaviour(s)?;Personal Security;;;;;
violent clash(es)?;Personal Security;;;;;
violent conflict(s)?;Personal Security;;;;;
violent crime;Personal Security;;;;;
violent death(s)?;Personal Security;;;;;
violent engagement(s)?;Personal Security;;;;;
violent event(s)?;Personal Security;;;;;
violent internal conflict(s)?;Personal Security;;;;;
violent offence(s)?;Personal Security;;;;;
violent organized crime;Personal Security;;;;;
violent threat(s)?;Personal Security;;;;;
war crime(s)?;Personal Security;;;;;
war related activit(y|ies);Personal Security;;;;;
war zone(s)?;Personal Security;;;;;
war(s)?;Personal Security;;;;;
war(s)? between state(s)?;Personal Security;;;;;
wartime(s)?;Personal Security;;;;;
weapon(s)? of mass destruction;Personal Security;;;;;
work death(s)?;Personal Security;;;;;
work related injur(y|ies);Personal Security;;;;;
workplace violence;Personal Security;;;;;
absence of democracy;Political Security;;;;;
absence of human rights;Political Security;;;;;
abuse from enforcement authorit(y|ies);Political Security;;;;;
abuse(s)? of power(s)?;Political Security;;;;;
abuse(s)? of the justice systém;Political Security;;;;;
anarchy;Political Security;;;;;
apartheid;Political Security;;;;;
apartheid regime;Political Security;;;;;
arbitrary incarceration;Political Security;;;;;
arms race(s)?;Political Security;;;;;
attack(s)? of armed rebels;Political Security;;;;;
authoritarian regime(s)?;Political Security;;;;;
authoritarian rule;Political Security;;;;;
breakdown of governance structure(s)?;Political Security;;;;;
breakdown of government structure(s)?;Political Security;;;;;
breakdown of law;Political Security;;;;;
breakdown of order;Political Security;;;;;
breakdown of the judicial system;Political Security;;;;;
breakdown of the police system;Political Security;;;;;
breakdown of traditional governance structure(s)?;Political Security;;;;;
breakdown(s)? of state authority;Political Security;;;;;
bribery;Political Security;;;;;
censorship;Political Security;;;;;
citizenship rights denial;Political Security;;;;;
civil riot(s)?;Political Security;;;;;
civil strife;Political Security;;;;;
civil unrest;Political Security;;;;;
collapse of institution(s)?;Political Security;;;;;
collapse of state(s)?;Political Security;;;;;
collapsed state(s)?;Political Security;;;;;
condoning political killings;Political Security;;;;;
contested territor(y|ies);Political Security;;;;;
control over ideas;Political Security;;;;;
control over information;Political Security;;;;;
conventional weapons build up(s)?;Political Security;;;;;
corporal punishment;Political Security;;;;;
coup(s)?;Political Security;;;;;
crack down on protesters;Political Security;;;;;
crime(s)? against people;Political Security;;;;;
criminal governance;Political Security;;;;;
criminality in politics;Political Security;;;;;
cultural problem(s)?;Political Security;;;;;
curb on civil libert(y|ies);Political Security;;;;;
curtailing libert(y|ies);Political Security;;;;;
death squad(s)?;Political Security;;;;;
democratic backsliding;Political Security;;;;;
denial of citizenship;Political Security;;;;;
denial of freedom(s)?;Political Security;;;;;
denial of human right(s)?;Political Security;;;;;
denial of information;Political Security;;;;;
denial of return;Political Security;;;;;
denial of right(s)?;Political Security;;;;;
deportation(s)?;Political Security;;;;;
destabilization of society;Political Security;;;;;
destabilizing state(s)?;Political Security;;;;;
destruction of trust;Political Security;;;;;
detention(s)?;Political Security;;;;;
discriminatory repression;Political Security;;;;;
disempower of users;Political Security;;;;;
disinformation;Political Security;;;;;
domestic chaos;Political Security;;;;;
domestic strife;Political Security;;;;;
domestic tension(s)?;Political Security;;;;;
erosion of political support;Political Security;;;;;
erosion of trust;Political Security;;;;;
exclusion from land on the base of citizenship;Political Security;;;;;
failure of justice system;Political Security;;;;;
failure of state to protect;Political Security;;;;;
false news;Political Security;;;;;
financing rebel group(s)?;Political Security;;;;;
fragile democrac(y|ies);Political Security;;;;;
fragile state apparatus;Political Security;;;;;
government corruption;Political Security;;;;;
government persecution;Political Security;;;;;
group rebellion(s)?;Political Security;;;;;
harming democratic institution(s)?;Political Security;;;;;
harming democratic norm(s)?;Political Security;;;;;
human right(s)? abuse(s)?;Political Security;;;;;
human right(s)? concern(s)?;Political Security;;;;;
human right(s)? challenge(s)?;Political Security;;;;;
human right(s)? problem(s)?;Political Security;;;;;
human right(s)? violation(s)?;Political Security;;;;;
illegal weapons programme(s)?;Political Security;;;;;
illicit transfer(s)? of funds;Political Security;;;;;
imprisonment of journalist(s)?;Political Security;;;;;
inability to participate in politics;Political Security;;;;;
ineffective citizenship;Political Security;;;;;
inflationary pressure(s)?;Political Security;;;;;
infringing on human right(s)?;Political Security;;;;;
injustice(s)?;Political Security;;;;;
intimidation;Political Security;;;;;
lack of citizenship;Political Security;;;;;
lack of civil status documentation;Political Security;;;;;
lack of democracy;Political Security;;;;;
lack of fundamental freedom(s)?;Political Security;;;;;
lack of media scrutiny;Political Security;;;;;
lack of nationality;Political Security;;;;;
lack of respect for human right(s)?;Political Security;;;;;
lack of right(s)?;Political Security;;;;;
lack of rule of law and justice;Political Security;;;;;
loss of traditional freedom of movement;Political Security;;;;;
media harassment;Political Security;;;;;
militarization;Political Security;;;;;
military corruption;Political Security;;;;;
military dictator(s)?;Political Security;;;;;
military dictatorship(s)?;Political Security;;;;;
military expenditure(s)?;Political Security;;;;;
military intervention(s)?;Political Security;;;;;
military overinvestment;Political Security;;;;;
military spending;Political Security;;;;;
misinformation;Political Security;;;;;
non existent human rights machinery;Political Security;;;;;
nuclear armament;Political Security;;;;;
nuclear proliferation;Political Security;;;;;
nuclear weapons program(s)?;Political Security;;;;;
obstruction of justice;Political Security;;;;;
occupation;Political Security;;;;;
online radicalization;Political Security;;;;;
oppression;Political Security;;;;;
oppression by;Political Security;;;;;
persecution(s)?;Political Security;;;;;
polarized party politics;Political Security;;;;;
political collapse;Political Security;;;;;
political cris[ie]s;Political Security;;;;;
political detention(s)?;Political Security;;;;;
political exclusion(s)?;Political Security;;;;;
political grievance(s)?;Political Security;;;;;
political imprisonment(s)?;Political Security;;;;;
political instabilit(y|ies);Political Security;;;;;
political killing(s)?;Political Security;;;;;
political level violence;Political Security;;;;;
political oppression;Political Security;;;;;
political practice(s)? of exclusion;Political Security;;;;;
political rebellion(s)?;Political Security;;;;;
political repression(s)?;Political Security;;;;;
political tension(s)?;Political Security;;;;;
political turbulence(s)?;Political Security;;;;;
political unrest(s)?;Political Security;;;;;
political violence;Political Security;;;;;
post electoral violence;Political Security;;;;;
power imbalance(s)?;Political Security;;;;;
preferential citizenship polic(y|ies);Political Security;;;;;
press freedom violation(s)?;Political Security;;;;;
priority to military spending;Political Security;;;;;
proliferation of weapons;Political Security;;;;;
propaganda;Political Security;;;;;
protest(s)?;Political Security;;;;;
radicalization;Political Security;;;;;
rapid system breakdown;Political Security;;;;;
rebel movement(s)?;Political Security;;;;;
rebellion(s)?;Political Security;;;;;
recrimination;Political Security;;;;;
recruitment to extremist;Political Security;;;;;
repression(s)?;Political Security;;;;;
repressive regime(s)?;Political Security;;;;;
restricted press;Political Security;;;;;
restriction(s)? of basic right(s)?;Political Security;;;;;
restriction(s)? of people's freedom(s)?;Political Security;;;;;
restriction(s)? of people's use of public;Political Security;;;;;
revolt(s)?;Political Security;;;;;
riot(s)?;Political Security;;;;;
serious disturbance(s)? of public order;Political Security;;;;;
silencing;Political Security;;;;;
social disintegration;Political Security;;;;;
social problem(s)?;Political Security;;;;;
social tension(s)?;Political Security;;;;;
sociopolitical instability;Political Security;;;;;
state as a threat;Political Security;;;;;
state based injustice;Political Security;;;;;
state collapse;Political Security;;;;;
state inability to act;Political Security;;;;;
state neglect;Political Security;;;;;
state repression(s)?;Political Security;;;;;
state weakness;Political Security;;;;;
statelessness;Political Security;;;;;
sudden political transition;Political Security;;;;;
suppression of;Political Security;;;;;
systematic torture;Political Security;;;;;
threat(s)? to civil libert(y|ies);Political Security;;;;;
torture;Political Security;;;;;
trust erosion;Political Security;;;;;
unconstitutional overthrow;Political Security;;;;;
undermining of democracy;Political Security;;;;;
unequal access to justice;Political Security;;;;;
unequal treatment;Political Security;;;;;
unrest(s)?;Political Security;;;;;
unstable political regime(s)?;Political Security;;;;;
unwarranted arrest(s)?;Political Security;;;;;
upheaval(s)?;Political Security;;;;;
uprising(s)?;Political Security;;;;;
vacuum of information;Political Security;;;;;
vandalism;Political Security;;;;;
violating human right(s)?;Political Security;;;;;
violation(s)? of dignity;Political Security;;;;;
violation(s)? of fundamental human right(s)?;Political Security;;;;;
violation(s)? of human right(s)?;Political Security;;;;;
violation(s)? of humanitarian law;Political Security;;;;;
violation(s)? of international norm(s)?;Political Security;;;;;
violation(s)?of right(s)?;Political Security;;;;;
violence against citizen(s)?;Political Security;;;;;
violent disorder;Political Security;;;;;
violent protest(s)?;Political Security;;;;;
violent repression of;Political Security;;;;;
volatile geopolitics;Political Security;;;;;
war economy;Political Security;;;;;
weak government institution(s)?;Political Security;;;;;
weak human rights machinery;Political Security;;;;;
weak institution(s)?;Political Security;;;;;
weak legal system;Political Security;;;;;
weak local governance structure(s)?;Political Security;;;;;
weak political regime(s)?;Political Security;;;;;
weak state(s)?;Political Security;;;;;
weak state(s)? capacit(y|ies);Political Security;;;;;
weakened governance system;Political Security;;;;;
weakened traditional management;Political Security;;;;;
weakening government institution(s)?;Political Security;;;;;
weakening of government institution(s)?;Political Security;;;;;
widespread corruption;Political Security;;;;;
wilful denial of citizenship;Political Security;;;;;
